pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023001838,8200,5,urban not junction,non holiday,day,Wednesday,severe,unknown,207817.0,749055.0,32.83619027581653,35.08012491441039
2023001841,2034,3,urban junction,non holiday,day,Monday,light,dry,251300.0,765310.0,32.98235517294478,35.5451130943066
2023001867,0,11,not urban not junction,non holiday,night,Sunday,light,dry,181460.0,667097.0,32.09656218867316,34.801918139387965
2023001886,8200,2,urban not junction,non holiday,day,Wednesday,light,wet from water,207727.0,749756.0,32.84251014420421,35.07915477589572
2023001887,0,3,not urban junction,non holiday,day,Friday,light,dry,230660.0,759327.0,32.92881543618001,35.32422905538459
2023001890,8300,12,urban not junction,non holiday,night,Tuesday,light,unknown,178585.0,655368.0,31.990692274820887,34.77195944472934
2023001899,5000,9,urban not junction,non holiday,night,Saturday,light,dry,179505.0,665394.0,32.081137512016625,34.781278647466976
2023001939,5000,1,urban not junction,non holiday,night,Wednesday,severe,dry,180720.0,661806.0,32.0488240719129,34.794291982579146
2023001952,0,7,not urban not junction,non holiday,day,Sunday,light,dry,181196.0,655764.0,31.99435449601412,34.799571539561846
2023001969,0,11,not urban not junction,non holiday,night,Saturday,light,unknown,176715.0,650783.0,31.949276433268334,34.752375145657815
2023001986,7400,1,urban junction,non holiday,night,Friday,light,dry,186868.0,692764.0,32.32818671026265,34.8583326023288
2023001991,4000,8,urban not junction,non holiday,day,Wednesday,severe,unknown,199365.0,747422.0,32.82134357284527,34.98988734995961
2023002002,6200,8,urban junction,non holiday,day,Wednesday,light,dry,176444.0,659539.0,32.02822627936139,34.74911908061903
2023002034,5000,12,urban not junction,non holiday,night,Friday,light,unknown,177967.0,664247.0,32.070738740009624,34.765038110727055
2023002048,0,1,not urban not junction,non holiday,night,Monday,severe,unknown,184134.0,655022.0,31.987758579352104,34.83068788647493
2023002049,5000,9,urban junction,holiday eve,night,Saturday,light,dry,179191.0,662310.0,32.053315624907896,34.77808189328394
2023002058,6300,5,urban not junction,non holiday,night,Monday,light,dry,182643.0,662868.0,32.05846521597428,34.81461212570641
2023002067,3000,11,urban not junction,non holiday,day,Monday,light,wet from water,223055.0,637037.0,31.826110299105864,35.242452729572236
2023002076,6800,6,urban not junction,non holiday,day,Thursday,light,dry,210518.0,745583.0,32.80490889581622,35.10900695330772
2023002093,166,7,urban junction,non holiday,day,Wednesday,severe,dry,172506.0,632958.0,31.788365349686135,34.708719953829366
2023002099,9000,5,urban junction,non holiday,day,Wednesday,light,unknown,177421.0,574480.0,31.261173033189262,34.763099556239446
2023002132,9000,4,urban junction,non holiday,night,Tuesday,light,dry,181202.0,573513.0,31.252581896784623,34.80283340387143
2023002139,0,7,not urban junction,non holiday,day,Thursday,light,dry,208805.0,746687.0,32.81484830272217,35.09070465065964
2023002157,0,7,not urban junction,non holiday,night,Sunday,light,dry,190982.0,663592.0,32.06523494850384,34.90289400376241
2023002158,6800,8,urban not junction,non holiday,night,Monday,light,dry,209080.0,745671.0,32.805689746680635,35.09365250421765
2023002165,0,1,not urban junction,non holiday,day,Tuesday,light,dry,212207.0,667859.0,32.104050009150164,35.12763700129284
2023002180,0,7,not urban junction,non holiday,day,Sunday,light,dry,180134.0,629874.0,31.760841320915507,34.78938172177812
2023002181,0,7,not urban junction,non holiday,day,Monday,light,dry,200792.0,743980.0,32.790332635825045,35.005195343908966
2023002203,5000,12,urban junction,non holiday,night,Tuesday,light,dry,180176.0,666045.0,32.08703159261647,34.78835908635395
2023002216,6200,9,urban not junction,non holiday,night,Wednesday,severe,dry,176272.0,656860.0,32.00406108610908,34.74741827922495
2023002226,0,2,not urban junction,non holiday,day,Tuesday,light,dry,163892.0,623795.0,31.705347096270724,34.61829427513922
2023002239,7400,11,urban not junction,non holiday,night,Tuesday,light,dry,187543.0,692697.0,32.32760199685471,34.86550366677999
2023002243,7900,2,urban junction,non holiday,day,Tuesday,light,wet from water,191053.0,664490.0,32.073334783964185,34.903619388260076
2023002252,70,7,urban junction,non holiday,night,Friday,light,dry,166921.0,633332.0,31.79149488405379,34.64973333073484
2023002266,0,5,not urban junction,non holiday,day,Tuesday,light,dry,208809.0,750083.0,32.84546969366309,35.09070834798343
2023002283,9000,4,urban junction,non holiday,day,Thursday,light,dry,177689.0,573589.0,31.253146840425977,34.76595043730248
2023002292,6900,1,urban not junction,non holiday,night,Monday,light,wet from water,190934.0,675694.0,32.17436713865144,34.90202607265899
2023002309,0,12,not urban not junction,non holiday,night,Tuesday,light,dry,248955.0,750477.0,32.84867718291851,35.519551736594906
2023002330,6100,1,urban junction,non holiday,day,Tuesday,severe,dry,183979.0,666535.0,32.09157618045742,34.828623978972814
2023002358,9100,2,urban not junction,non holiday,day,Monday,light,dry,208991.0,767801.0,33.00523024385315,35.09245141436399
2023002362,0,5,not urban junction,non holiday,day,Thursday,light,dry,205478.0,745576.0,32.8047932178479,35.05519524099075
2023002367,8700,1,urban junction,non holiday,day,Wednesday,light,dry,187097.0,676713.0,32.18345237538086,34.86130948285563
2023002385,0,11,not urban junction,non holiday,day,Tuesday,light,dry,213712.0,769051.0,33.01653613218879,35.14296317327644
2023002391,3000,11,urban junction,non holiday,day,Wednesday,light,dry,216814.0,633142.0,31.790986404069702,35.17654106099535
2023002403,4000,9,urban junction,non holiday,day,Thursday,light,dry,200111.0,746531.0,32.81332294324777,34.99787237550459
2023002406,2630,3,urban junction,non holiday,day,Tuesday,light,dry,179004.0,611942.0,31.599085780238084,34.778193914553796
2023002438,3000,9,urban not junction,non holiday,day,Friday,light,dry,219650.0,632825.0,31.7881306006883,35.20648566167861
2023002456,3000,5,urban junction,non holiday,night,Monday,light,dry,222802.0,636986.0,31.825651134960385,35.239780175367635
2023002469,256,3,urban not junction,non holiday,day,Sunday,light,dry,243082.0,712209.0,32.503755335687565,35.45584728494962
2023002491,7400,2,urban junction,non holiday,day,Saturday,light,dry,186813.0,692615.0,32.32684150506311,34.85775359692396
2023002499,3000,10,urban not junction,holiday workday,day,Wednesday,severe,dry,221753.0,639102.0,31.84473651872459,35.22870489554719
